College Name,Branch,OC,BC,BCM,MBC,SC,SCA,ST,District
"A V S College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem-636106. (2347)",AGRICULTURAL ENGINEERING (AG),109.0,106.5,,100.5,,,,Salem
"A V S College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem-636106. (2347)",Artificial Intelligence and Data Science (AD),142.5,87.0,141.5,112.5,122.0,,,Salem
"A V S College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem-636106. (2347)",COMPUTER SCIENCE AND ENGINEERING (CS),127.0,82.0,116.0,111.0,123.5,,,Salem
"A V S College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem-636106. (2347)",ELECTRICAL AND ELECTRONICS ENGINEERING (EE),130.5,88.0,116.5,112.0,99.5,,,Salem
"A V S College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem-636106. (2347)",ELECTRONICS AND COMMUNICATION ENGINEERING (EC),119.0,95.0,102.5,103.0,,,,Salem
"A V S College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem-636106. (2347)",INFORMATION TECHNOLOGY (IT),122.0,90.0,116.5,104.5,,,,Salem
"A V S College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem-636106. (2347)",MECHANICAL ENGINEERING (ME),114.5,84.0,,103.0,81.5,,,Salem
"A.K.T.Memorial College of Engineering and Technology, Neelamangalam( Post ), Kallakurichi Taluk, Villupuram District-606202. (1441)",Artificial Intelligence and Data Science (AD),128.5,104.5,124.5,88.5,116.0,,,Kallakurichi
"A.K.T.Memorial College of Engineering and Technology, Neelamangalam( Post ), Kallakurichi Taluk, Villupuram District-606202. (1441)",CIVIL  ENGINEERING (CE),88.5,,,,,,,Kallakurichi
"A.K.T.Memorial College of Engineering and Technology, Neelamangalam( Post ), Kallakurichi Taluk, Villupuram District-606202. (1441)",COMPUTER SCIENCE AND ENGINEERING (CS),120.0,85.0,107.0,99.5,96.5,,,Kallakurichi
"A.K.T.Memorial College of Engineering and Technology, Neelamangalam( Post ), Kallakurichi Taluk, Villupuram District-606202. (1441)",ELECTRICAL AND ELECTRONICS ENGINEERING (EE),89.5,80.5,,83.5,,,,Kallakurichi
"A.K.T.Memorial College of Engineering and Technology, Neelamangalam( Post ), Kallakurichi Taluk, Villupuram District-606202. (1441)",ELECTRONICS AND COMMUNICATION ENGINEERING (EC),117.5,109.5,,90.5,96.5,,,Kallakurichi
"A.K.T.Memorial College of Engineering and Technology, Neelamangalam( Post ), Kallakurichi Taluk, Villupuram District-606202. (1441)",INFORMATION TECHNOLOGY (IT),118.0,94.0,,90.0,112.0,,,Kallakurichi
"A.K.T.Memorial College of Engineering and Technology, Neelamangalam( Post ), Kallakurichi Taluk, Villupuram District-606202. (1441)",MECHANICAL ENGINEERING (ME),93.5,,,,,,,Kallakurichi
"A.R College of Engineering and Technology, Kadayam - Alangulam Road, Near Railway Station, Kadayam, Therkkumadathur, Tirunelveli-627423. (4937)",CIVIL  ENGINEERING (CE),,,,,,,,Tirunelveli
"A.R College of Engineering and Technology, Kadayam - Alangulam Road, Near Railway Station, Kadayam, Therkkumadathur, Tirunelveli-627423. (4937)",COMPUTER SCIENCE AND ENGINEERING (CS),,,,,,,,Tirunelveli
"A.R College of Engineering and Technology, Kadayam - Alangulam Road, Near Railway Station, Kadayam, Therkkumadathur, Tirunelveli-627423. (4937)",ELECTRICAL AND ELECTRONICS ENGINEERING (EE),,,,,,,,Tirunelveli
"A.R College of Engineering and Technology, Kadayam - Alangulam Road, Near Railway Station, Kadayam, Therkkumadathur, Tirunelveli-627423. (4937)",ELECTRONICS AND COMMUNICATION ENGINEERING (EC),,,,,,,,Tirunelveli
"A.R College of Engineering and Technology, Kadayam - Alangulam Road, Near Railway Station, Kadayam, Therkkumadathur, Tirunelveli-627423. (4937)",MECHANICAL ENGINEERING (ME),,,,,,,,Tirunelveli
"A.R.Engineering College, Vadakuchipalayam, Kappiyampuliyur post, Villupuram-605601. (1436)",Artificial Intelligence and Data Science (AD),85.5,,,,,,,Villupuram
"A.R.Engineering College, Vadakuchipalayam, Kappiyampuliyur post, Villupuram-605601. (1436)",CIVIL  ENGINEERING (CE),,,,,,,,Villupuram
"A.R.Engineering College, Vadakuchipalayam, Kappiyampuliyur post, Villupuram-605601. (1436)",COMPUTER SCIENCE AND ENGINEERING (CS),83.5,,,,,,,Villupuram
"A.R.Engineering College, Vadakuchipalayam, Kappiyampuliyur post, Villupuram-605601. (1436)",ELECTRICAL AND ELECTRONICS ENGINEERING (EE),91.5,,,,,,,Villupuram
"A.R.Engineering College, Vadakuchipalayam, Kappiyampuliyur post, Villupuram-605601. (1436)",ELECTRONICS AND COMMUNICATION ENGINEERING (EC),121.0,,,,,,,Villupuram
"A.R.Engineering College, Vadakuchipalayam, Kappiyampuliyur post, Villupuram-605601. (1436)",MECHANICAL ENGINEERING (ME),,,,,,,,Villupuram
"A.R.J College of Engineering and Technology, Thirumakkottai Main Road, Edayarnatham Village, Sundarakkottai (PO), Mannargudi Taluk, Thiruvarur-614001. (3821)",AGRICULTURAL ENGINEERING (AG),134.5,,,,,,,Other
"A.R.J College of Engineering and Technology, Thirumakkottai Main Road, Edayarnatham Village, Sundarakkottai (PO), Mannargudi Taluk, Thiruvarur-614001. (3821)",Artificial Intelligence and Data Science (AD),108.0,96.5,98.0,,,,,Other
"A.R.J College of Engineering and Technology, Thirumakkottai Main Road, Edayarnatham Village, Sundarakkottai (PO), Mannargudi Taluk, Thiruvarur-614001. (3821)",BIO MEDICAL ENGINEERING (BM),89.5,,,,,,,Other
"A.R.J College of Engineering and Technology, Thirumakkottai Main Road, Edayarnatham Village, Sundarakkottai (PO), Mannargudi Taluk, Thiruvarur-614001. (3821)",CIVIL  ENGINEERING (CE),,,,,,,,Other
"A.R.J College of Engineering and Technology, Thirumakkottai Main Road, Edayarnatham Village, Sundarakkottai (PO), Mannargudi Taluk, Thiruvarur-614001. (3821)",COMPUTER SCIENCE AND ENGINEERING (CS),86.5,,,,,,,Other
"A.R.J College of Engineering and Technology, Thirumakkottai Main Road, Edayarnatham Village, Sundarakkottai (PO), Mannargudi Taluk, Thiruvarur-614001. (3821)",ELECTRICAL AND ELECTRONICS ENGINEERING (EE),113.5,,,,,,,Other
"A.R.J College of Engineering and Technology, Thirumakkottai Main Road, Edayarnatham Village, Sundarakkottai (PO), Mannargudi Taluk, Thiruvarur-614001. (3821)",ELECTRONICS AND COMMUNICATION ENGINEERING (EC),90.5,82.5,87.0,83.5,,,,Other
"A.R.J College of Engineering and Technology, Thirumakkottai Main Road, Edayarnatham Village, Sundarakkottai (PO), Mannargudi Taluk, Thiruvarur-614001. (3821)",MECHANICAL ENGINEERING (ME),105.0,,,,,,,Other
"A.V.C. College of Engineering, Mannampandal, Mayiladuthurai, Nagapattinam-609305. (3801)",Artificial Intelligence and Data Science (AD),168.5,134.5,167.5,138.5,101.0,,,Mayiladuthurai
"A.V.C. College of Engineering, Mannampandal, Mayiladuthurai, Nagapattinam-609305. (3801)",CIVIL  ENGINEERING (CE),117.0,,,96.5,95.5,,,Mayiladuthurai
"A.V.C. College of Engineering, Mannampandal, Mayiladuthurai, Nagapattinam-609305. (3801)",COMPUTER SCIENCE AND ENGINEERING (CS),165.0,125.0,152.5,145.5,105.0,101.5,,Mayiladuthurai
"A.V.C. College of Engineering, Mannampandal, Mayiladuthurai, Nagapattinam-609305. (3801)",ELECTRICAL AND ELECTRONICS ENGINEERING (EE),129.5,102.5,,121.0,103.0,,,Mayiladuthurai
"A.V.C. College of Engineering, Mannampandal, Mayiladuthurai, Nagapattinam-609305. (3801)",ELECTRONICS AND COMMUNICATION ENGINEERING (EC),147.5,98.5,143.5,136.5,106.0,,,Mayiladuthurai
"A.V.C. College of Engineering, Mannampandal, Mayiladuthurai, Nagapattinam-609305. (3801)",INFORMATION TECHNOLOGY (IT),163.0,125.5,150.0,143.5,83.0,,,Mayiladuthurai
"A.V.C. College of Engineering, Mannampandal, Mayiladuthurai, Nagapattinam-609305. (3801)",INSTRUMENTATION AND CONTROL ENGINEERING (IC),119.0,,,105.0,,,,Mayiladuthurai
"A.V.C. College of Engineering, Mannampandal, Mayiladuthurai, Nagapattinam-609305. (3801)",MECHANICAL ENGINEERING (ME),114.5,,,106.5,109.5,,,Mayiladuthurai
"AAA College of Engineering and Technology, Amathur Village, Sivakasi, Virudhunagar-626123. (4680)",Artificial Intelligence and Data Science (AD),162.5,135.0,,144.0,101.0,95.0,,Virudhunagar
"AAA College of Engineering and Technology, Amathur Village, Sivakasi, Virudhunagar-626123. (4680)",CIVIL  ENGINEERING (CE),124.0,102.5,115.0,,98.0,,,Virudhunagar
"AAA College of Engineering and Technology, Amathur Village, Sivakasi, Virudhunagar-626123. (4680)",COMPUTER SCIENCE AND ENGINEERING (CS),154.5,140.5,136.5,120.5,115.0,122.5,,Virudhunagar
"AAA College of Engineering and Technology, Amathur Village, Sivakasi, Virudhunagar-626123. (4680)",Computer Science and Engineering (Cyber Security) (SC),144.0,136.0,,119.5,114.5,96.5,,Virudhunagar
"AAA College of Engineering and Technology, Amathur Village, Sivakasi, Virudhunagar-626123. (4680)",ELECTRICAL AND ELECTRONICS ENGINEERING (EE),138.0,108.0,134.5,104.5,99.5,116.5,,Virudhunagar
"AAA College of Engineering and Technology, Amathur Village, Sivakasi, Virudhunagar-626123. (4680)",ELECTRONICS AND COMMUNICATION ENGINEERING (EC),163.5,142.5,,120.0,122.0,123.0,,Virudhunagar
"AAA College of Engineering and Technology, Amathur Village, Sivakasi, Virudhunagar-626123. (4680)",INFORMATION TECHNOLOGY (IT),144.0,134.0,123.0,113.5,108.0,84.5,,Virudhunagar
"AAA College of Engineering and Technology, Amathur Village, Sivakasi, Virudhunagar-626123. (4680)",MECHANICAL ENGINEERING (ME),118.0,84.5,,94.0,92.0,118.0,,Virudhunagar
"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055. (1101)",Artificial Intelligence and Data Science (AD),152.5,117.0,150.5,109.5,125.0,,,Chennai
"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055. (1101)",COMPUTER SCIENCE AND BUSSINESS SYSTEM (CB),134.5,98.0,134.5,111.0,,,,Chennai
"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055. (1101)",COMPUTER SCIENCE AND ENGINEERING (CS),148.0,89.0,145.0,96.5,130.0,,,Chennai
"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055. (1101)",COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING) (AM),147.5,100.5,145.5,120.0,105.5,,,Chennai
"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055. (1101)",Computer Science and Engineering (Cyber Security) (SC),137.5,106.0,136.0,126.0,108.0,,,Chennai
"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055. (1101)",ELECTRICAL AND ELECTRONICS ENGINEERING (EE),119.5,101.5,,,,,,Chennai
"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055. (1101)",ELECTRONICS AND COMMUNICATION ENGINEERING (EC),138.0,94.5,137.0,100.5,,,,Chennai
"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055. (1101)",INFORMATION TECHNOLOGY (IT),142.5,105.5,137.5,130.5,87.0,,,Chennai
"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055. (1101)",MECHANICAL ENGINEERING (ME),105.5,,,,,,,Chennai
"Adhi College of Engineering and Technology, No. 6, Munu  Adhi Nagar, Sankarapuram, Puliambakkam Post, Near Wallajabad Kancheepuram-631605. (1233)",Artificial Intelligence and Data Science (AD),139.5,112.5,,130.0,126.0,,,Kancheepuram
"Adhi College of Engineering and Technology, No. 6, Munu  Adhi Nagar, Sankarapuram, Puliambakkam Post, Near Wallajabad Kancheepuram-631605. (1233)",COMPUTER SCIENCE AND ENGINEERING (CS),132.5,90.5,,97.5,98.5,,,Kancheepuram
"Adhi College of Engineering and Technology, No. 6, Munu  Adhi Nagar, Sankarapuram, Puliambakkam Post, Near Wallajabad Kancheepuram-631605. (1233)",ELECTRICAL AND ELECTRONICS ENGINEERING (EE),81.0,,,,,,,Kancheepuram
"Adhi College of Engineering and Technology, No. 6, Munu  Adhi Nagar, Sankarapuram, Puliambakkam Post, Near Wallajabad Kancheepuram-631605. (1233)",ELECTRONICS AND COMMUNICATION ENGINEERING (EC),115.0,89.5,99.5,87.5,100.0,,113.0,Kancheepuram
"Adhi College of Engineering and Technology, No. 6, Munu  Adhi Nagar, Sankarapuram, Puliambakkam Post, Near Wallajabad Kancheepuram-631605. (1233)",INFORMATION TECHNOLOGY (IT),139.0,114.5,,126.5,102.5,,,Kancheepuram
"Adhi College of Engineering and Technology, No. 6, Munu  Adhi Nagar, Sankarapuram, Puliambakkam Post, Near Wallajabad Kancheepuram-631605. (1233)",MECHANICAL ENGINEERING (ME),86.5,,,,,,,Kancheepuram
"Adhiparasakthi College of Engineering, G.B.Nagar, Kalavai, Arcot Taluk, Vellore District-632506. (1501)",Artificial Intelligence and Data Science (AD),140.5,90.5,128.0,128.5,124.5,,,Vellore
"Adhiparasakthi College of Engineering, G.B.Nagar, Kalavai, Arcot Taluk, Vellore District-632506. (1501)",CIVIL  ENGINEERING (CE),105.0,,,,,,,Vellore
"Adhiparasakthi College of Engineering, G.B.Nagar, Kalavai, Arcot Taluk, Vellore District-632506. (1501)",COMPUTER SCIENCE AND ENGINEERING (CS),145.5,135.0,,127.5,104.0,,,Vellore
"Adhiparasakthi College of Engineering, G.B.Nagar, Kalavai, Arcot Taluk, Vellore District-632506. (1501)",Computer Science and Engineering (Cyber Security) (SC),127.5,111.0,,110.0,,,,Vellore
"Adhiparasakthi College of Engineering, G.B.Nagar, Kalavai, Arcot Taluk, Vellore District-632506. (1501)",ELECTRICAL AND ELECTRONICS ENGINEERING (EE),114.5,82.5,,109.0,106.5,,,Vellore
"Adhiparasakthi College of Engineering, G.B.Nagar, Kalavai, Arcot Taluk, Vellore District-632506. (1501)",ELECTRONICS AND COMMUNICATION ENGINEERING (EC),140.5,114.0,139.0,127.5,116.0,,,Vellore
"Adhiparasakthi College of Engineering, G.B.Nagar, Kalavai, Arcot Taluk, Vellore District-632506. (1501)",INFORMATION TECHNOLOGY (IT),143.0,125.5,106.5,123.0,110.5,,,Vellore
"Adhiparasakthi College of Engineering, G.B.Nagar, Kalavai, Arcot Taluk, Vellore District-632506. (1501)",MECHANICAL ENGINEERING (ME),111.5,99.0,,100.5,,,,Vellore
"Adhiparasakthi Engineering College, Melmaruvathur, Cheyyur Taluk, Kancheepuram District-603319. (1401)",CHEMICAL  ENGINEERING (CH),92.5,,,,,,,Kancheepuram
"Adhiparasakthi Engineering College, Melmaruvathur, Cheyyur Taluk, Kancheepuram District-603319. (1401)",CIVIL  ENGINEERING (CE),84.0,,,,,,,Kancheepuram
"Adhiparasakthi Engineering College, Melmaruvathur, Cheyyur Taluk, Kancheepuram District-603319. (1401)",COMPUTER SCIENCE AND ENGINEERING (CS),151.5,116.5,124.0,131.5,109.5,107.0,,Kancheepuram
"Adhiparasakthi Engineering College, Melmaruvathur, Cheyyur Taluk, Kancheepuram District-603319. (1401)",COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING) (AM),150.5,111.5,146.5,133.0,111.5,,,Kancheepuram
"Adhiparasakthi Engineering College, Melmaruvathur, Cheyyur Taluk, Kancheepuram District-603319. (1401)",ELECTRICAL AND ELECTRONICS ENGINEERING (EE),93.5,,,,,,,Kancheepuram
"Adhiparasakthi Engineering College, Melmaruvathur, Cheyyur Taluk, Kancheepuram District-603319. (1401)",ELECTRONICS AND COMMUNICATION ENGINEERING (EC),125.0,108.0,89.0,95.5,110.0,,,Kancheepuram
"Adhiparasakthi Engineering College, Melmaruvathur, Cheyyur Taluk, Kancheepuram District-603319. (1401)",INFORMATION TECHNOLOGY (IT),146.5,124.5,119.0,131.0,91.5,,,Kancheepuram
"Adhiparasakthi Engineering College, Melmaruvathur, Cheyyur Taluk, Kancheepuram District-603319. (1401)",MECHANICAL ENGINEERING (ME),88.5,,,,,,,Kancheepuram
"Adhiyamaan College of Engineering (Autonomous), Aeri Campus, Dr.M.G.R.Nagar, Hosur, Krishnagiri District-635109. (2601)",AERONAUTICAL ENGINEERING (AE),83.5,,,,,,,Krishnagiri
"Adhiyamaan College of Engineering (Autonomous), Aeri Campus, Dr.M.G.R.Nagar, Hosur, Krishnagiri District-635109. (2601)",Artificial Intelligence and Data Science (AD),160.0,142.5,138.5,144.5,119.0,,,Krishnagiri
"Adhiyamaan College of Engineering (Autonomous), Aeri Campus, Dr.M.G.R.Nagar, Hosur, Krishnagiri District-635109. (2601)",BIO MEDICAL ENGINEERING (BM),116.5,91.0,,96.0,,,,Krishnagiri
"Adhiyamaan College of Engineering (Autonomous), Aeri Campus, Dr.M.G.R.Nagar, Hosur, Krishnagiri District-635109. (2601)",BIO TECHNOLOGY (BT),136.5,99.5,122.5,117.5,103.5,,,Krishnagiri
"Adhiyamaan College of Engineering (Autonomous), Aeri Campus, Dr.M.G.R.Nagar, Hosur, Krishnagiri District-635109. (2601)",CHEMICAL  ENGINEERING (CH),86.0,,,,,,,Krishnagiri
"Adhiyamaan College of Engineering (Autonomous), Aeri Campus, Dr.M.G.R.Nagar, Hosur, Krishnagiri District-635109. (2601)",CIVIL  ENGINEERING (CE),100.5,,,,,,,Krishnagiri
"Adhiyamaan College of Engineering (Autonomous), Aeri Campus, Dr.M.G.R.Nagar, Hosur, Krishnagiri District-635109. (2601)",COMPUTER SCIENCE AND ENGINEERING (CS),161.0,142.0,148.5,136.0,105.5,112.0,,Krishnagiri
"Adhiyamaan College of Engineering (Autonomous), Aeri Campus, Dr.M.G.R.Nagar, Hosur, Krishnagiri District-635109. (2601)",Computer Science and Engineering (Cyber Security) (SC),145.5,134.5,142.5,129.0,105.0,,,Krishnagiri
"Adhiyamaan College of Engineering (Autonomous), Aeri Campus, Dr.M.G.R.Nagar, Hosur, Krishnagiri District-635109. (2601)",ELECTRICAL AND ELECTRONICS ENGINEERING (EE),122.5,110.5,,107.5,101.0,,,Krishnagiri
"Adhiyamaan College of Engineering (Autonomous), Aeri Campus, Dr.M.G.R.Nagar, Hosur, Krishnagiri District-635109. (2601)",ELECTRONICS AND COMMUNICATION ENGINEERING (EC),148.0,128.0,136.0,131.0,89.0,,,Krishnagiri
"Adhiyamaan College of Engineering (Autonomous), Aeri Campus, Dr.M.G.R.Nagar, Hosur, Krishnagiri District-635109. (2601)",INFORMATION TECHNOLOGY (IT),151.0,140.5,145.0,138.5,101.5,136.5,,Krishnagiri
"Adhiyamaan College of Engineering (Autonomous), Aeri Campus, Dr.M.G.R.Nagar, Hosur, Krishnagiri District-635109. (2601)",MECHANICAL ENGINEERING (ME),110.5,95.5,,92.5,,,,Krishnagiri
"Adithya Institute of Technology (Autonomous), S.F.No. 348/1,349/1, Kurumbapalayam, SS Kulam(PO), Coimbatore-641107. (2744)",Artificial Intelligence and Data Science (AD),158.0,148.0,156.0,144.5,,,,Coimbatore
"Adithya Institute of Technology (Autonomous), S.F.No. 348/1,349/1, Kurumbapalayam, SS Kulam(PO), Coimbatore-641107. (2744)",CIVIL  ENGINEERING (CE),112.5,,,99.0,84.0,106.0,,Coimbatore
"Adithya Institute of Technology (Autonomous), S.F.No. 348/1,349/1, Kurumbapalayam, SS Kulam(PO), Coimbatore-641107. (2744)",COMPUTER SCIENCE AND ENGINEERING (CS),159.0,147.5,139.5,142.5,,,,Coimbatore
"Adithya Institute of Technology (Autonomous), S.F.No. 348/1,349/1, Kurumbapalayam, SS Kulam(PO), Coimbatore-641107. (2744)",ELECTRICAL AND ELECTRONICS ENGINEERING (EE),144.5,142.0,,125.5,101.0,,,Coimbatore
"Adithya Institute of Technology (Autonomous), S.F.No. 348/1,349/1, Kurumbapalayam, SS Kulam(PO), Coimbatore-641107. (2744)",ELECTRONICS AND COMMUNICATION ENGINEERING (EC),152.5,146.0,101.0,141.0,,,,Coimbatore
"Adithya Institute of Technology (Autonomous), S.F.No. 348/1,349/1, Kurumbapalayam, SS Kulam(PO), Coimbatore-641107. (2744)",INFORMATION TECHNOLOGY (IT),155.5,149.0,135.5,141.5,,,,Coimbatore
"Adithya Institute of Technology (Autonomous), S.F.No. 348/1,349/1, Kurumbapalayam, SS Kulam(PO), Coimbatore-641107. (2744)",MECHANICAL ENGINEERING (ME),110.5,93.0,108.0,91.5,,,84.5,Coimbatore
"Agni College of Technology (Autonomous), Thalambur Off.Rajiv Gandhi Salai, Chengalpattu Taluk, Kancheepuram District-603103. (1316)",Artificial Intelligence and Data Science (AD),157.0,141.5,157.0,142.0,136.0,122.0,,Chengalpattu
"Agni College of Technology (Autonomous), Thalambur Off.Rajiv Gandhi Salai, Chengalpattu Taluk, Kancheepuram District-603103. (1316)",BIO MEDICAL ENGINEERING (BM),136.0,86.0,,112.0,103.5,,,Chengalpattu
"Agni College of Technology (Autonomous), Thalambur Off.Rajiv Gandhi Salai, Chengalpattu Taluk, Kancheepuram District-603103. (1316)",CHEMICAL  ENGINEERING (CH),130.0,99.0,113.0,115.0,96.5,,,Chengalpattu
"Agni College of Technology (Autonomous), Thalambur Off.Rajiv Gandhi Salai, Chengalpattu Taluk, Kancheepuram District-603103. (1316)",CIVIL  ENGINEERING (CE),129.0,107.0,,106.5,108.5,,,Chengalpattu
"Agni College of Technology (Autonomous), Thalambur Off.Rajiv Gandhi Salai, Chengalpattu Taluk, Kancheepuram District-603103. (1316)",COMPUTER SCIENCE AND ENGINEERING (CS),154.0,139.5,128.0,134.5,112.0,112.0,97.5,Chengalpattu
"Agni College of Technology (Autonomous), Thalambur Off.Rajiv Gandhi Salai, Chengalpattu Taluk, Kancheepuram District-603103. (1316)",ELECTRICAL AND ELECTRONICS ENGINEERING (EE),148.0,132.0,,119.0,103.0,,,Chengalpattu
"Agni College of Technology (Autonomous), Thalambur Off.Rajiv Gandhi Salai, Chengalpattu Taluk, Kancheepuram District-603103. (1316)",ELECTRONICS AND COMMUNICATION ENGINEERING (EC),158.0,142.0,136.5,135.5,111.5,,,Chengalpattu
"Agni College of Technology (Autonomous), Thalambur Off.Rajiv Gandhi Salai, Chengalpattu Taluk, Kancheepuram District-603103. (1316)",INFORMATION TECHNOLOGY (IT),145.0,136.5,121.0,132.0,116.0,,,Chengalpattu
"Agni College of Technology (Autonomous), Thalambur Off.Rajiv Gandhi Salai, Chengalpattu Taluk, Kancheepuram District-603103. (1316)",MECHANICAL ENGINEERING (ME),125.5,100.5,,103.5,115.5,,,Chengalpattu
"Agni College of Technology (Autonomous), Thalambur Off.Rajiv Gandhi Salai, Chengalpattu Taluk, Kancheepuram District-603103. (1316)",Mechatronics Engineering (MZ),142.5,117.5,115.5,122.5,101.5,,,Chengalpattu
"Aishwarya College of Engineering and Technology, Errattaikarad, Paruvachi (Post), Anthiyur, Bhavani (Taluk), Erode District-638312. (2332)",Artificial Intelligence and Data Science (AD),83.5,,,,,,,Erode
"Aishwarya College of Engineering and Technology, Errattaikarad, Paruvachi (Post), Anthiyur, Bhavani (Taluk), Erode District-638312. (2332)",CIVIL  ENGINEERING (CE),,,,,,,,Erode
"Aishwarya College of Engineering and Technology, Errattaikarad, Paruvachi (Post), Anthiyur, Bhavani (Taluk), Erode District-638312. (2332)",COMPUTER SCIENCE AND ENGINEERING (CS),96.5,,,,,,,Erode
"Aishwarya College of Engineering and Technology, Errattaikarad, Paruvachi (Post), Anthiyur, Bhavani (Taluk), Erode District-638312. (2332)",ELECTRICAL AND ELECTRONICS ENGINEERING (EE),,,,,,,,Erode
"Aishwarya College of Engineering and Technology, Errattaikarad, Paruvachi (Post), Anthiyur, Bhavani (Taluk), Erode District-638312. (2332)",ELECTRONICS AND COMMUNICATION ENGINEERING (EC),,,,,,,,Erode
"Aishwarya College of Engineering and Technology, Errattaikarad, Paruvachi (Post), Anthiyur, Bhavani (Taluk), Erode District-638312. (2332)",MECHANICAL ENGINEERING (ME),144.99,,,,,,,Erode
"Akshaya College of Engineering and Technology, SF No.112/1CPT,114/1,115/1,116/2C, Bagavathipalayam Road,Kinathukadavu, Coimbatore-642109. (2763)",Artificial Intelligence and Data Science (AD),148.0,138.5,129.0,130.5,85.0,123.5,,Coimbatore
"Akshaya College of Engineering and Technology, SF No.112/1CPT,114/1,115/1,116/2C, Bagavathipalayam Road,Kinathukadavu, Coimbatore-642109. (2763)",CIVIL  ENGINEERING (CE),82.0,,,,,,,Coimbatore
"Akshaya College of Engineering and Technology, SF No.112/1CPT,114/1,115/1,116/2C, Bagavathipalayam Road,Kinathukadavu, Coimbatore-642109. (2763)",COMPUTER SCIENCE AND BUSSINESS SYSTEM (CB),133.0,124.5,99.5,121.5,104.5,107.5,,Coimbatore
"Akshaya College of Engineering and Technology, SF No.112/1CPT,114/1,115/1,116/2C, Bagavathipalayam Road,Kinathukadavu, Coimbatore-642109. (2763)",COMPUTER SCIENCE AND ENGINEERING (CS),144.5,121.0,136.0,113.5,95.0,131.0,85.5,Coimbatore
"Akshaya College of Engineering and Technology, SF No.112/1CPT,114/1,115/1,116/2C, Bagavathipalayam Road,Kinathukadavu, Coimbatore-642109. (2763)",ELECTRICAL AND ELECTRONICS ENGINEERING (EE),113.5,92.0,80.0,86.5,84.5,,,Coimbatore
"Akshaya College of Engineering and Technology, SF No.112/1CPT,114/1,115/1,116/2C, Bagavathipalayam Road,Kinathukadavu, Coimbatore-642109. (2763)",ELECTRONICS AND COMMUNICATION ENGINEERING (EC),137.0,110.5,,111.0,92.5,92.5,,Coimbatore
"Akshaya College of Engineering and Technology, SF No.112/1CPT,114/1,115/1,116/2C, Bagavathipalayam Road,Kinathukadavu, Coimbatore-642109. (2763)",MECHANICAL ENGINEERING (ME),103.0,82.5,90.0,101.5,90.0,,,Coimbatore
"Akshaya College of Engineering and Technology, SF No.112/1CPT,114/1,115/1,116/2C, Bagavathipalayam Road,Kinathukadavu, Coimbatore-642109. (2763)",Mechatronics Engineering (MZ),113.5,104.0,108.0,93.0,82.5,,,Coimbatore
"AL-Ameen Engineering College (Autonomous), Karundevanpalayam, Nanjai Uthukkuli Post, Erode District-638104. (2652)",Artificial Intelligence and Data Science (AD),124.5,93.5,123.0,103.0,104.0,104.5,,Erode
"AL-Ameen Engineering College (Autonomous), Karundevanpalayam, Nanjai Uthukkuli Post, Erode District-638104. (2652)",COMPUTER SCIENCE AND ENGINEERING (CS),103.5,,101.0,93.5,,,,Erode
"AL-Ameen Engineering College (Autonomous), Karundevanpalayam, Nanjai Uthukkuli Post, Erode District-638104. (2652)",ELECTRICAL AND ELECTRONICS ENGINEERING (EE),91.0,,,,,,,Erode
"AL-Ameen Engineering College (Autonomous), Karundevanpalayam, Nanjai Uthukkuli Post, Erode District-638104. (2652)",ELECTRONICS AND COMMUNICATION ENGINEERING (EC),103.5,,96.5,,,,,Erode
"AL-Ameen Engineering College (Autonomous), Karundevanpalayam, Nanjai Uthukkuli Post, Erode District-638104. (2652)",INFORMATION TECHNOLOGY (IT),113.5,92.5,107.0,93.5,86.5,108.5,,Erode
